XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,A,B,C,D,E,F,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen
AKERMANITE,Ca2MgSi2O7,(C),298.15,1727,-3730197.024,209.1713271,-3874288.641,251.90026,0.04722607,-4802084,0,0,0,AKERMANITE, Ca2MgSi2O7,Akermanit,92.72290128,9.272290128,Webmineral,
HIGH_ALBIT,Na2Al2Si6O16,(C),298.15,1688,8143091.569,457.6601051,7820130.898,565.45794,0.08165216,-17175398,0,0,0,,,,,,,
PSEDOWOLLAST.].,CaSiO3,(C),298.15,1817,-1565091.649,87.43340487,-1626766.403,108.13055,0.01648102,-2363396,0,0,0,PSEDOWOLLAST.]., CaSiO3,Pseudowollastonit,119.857162,11.9857162,Webmineral,
RANKINITE,Ca3Si2O7,(C),298.15,2343,-3793602.321,210.8446929,-3939124.592,257.29633,0.05580122,-5362606,0,0,0,RANKINITE, Ca3Si2O7,Rankinit,95.78967646,9.578967646,Webmineral,
Ca2SiO4_GAMMA,[GAMMA],(C),298.15,1100,-2230984.654,120.4831585,-2315705.196,133.27038,0.05153456,-1940912,0,0,0,Ca2SiO4_GAMMA, Ca2SiO4_GAMMA,Calcio-Olivin,58.26120078,5.826120078,Mineralienatlas,
Ca3SiO5,[],(C),298.15,1800,-2822726.43,168.5921628,-2926002.851,208.52255,0.03605746,-4245746,0,0,0,Ca3SiO5, Ca3SiO5,Hatrurit,75.72039054,7.572039054,Webmineral,
MULLITE_2,Al2Si2O13,(C),298.15,2000,-6540202.857,254.3591986,-6817862.221,465.52607,0.05462998,-13854096,0,0,0,MULLITE, Al6Si2O13,Mullit,101.1900312,10.11900312,Webmineral,data for Al+Si=6 normalised formula
WOLLASTONITE,CaSiO3,(C),298.15,1817,-1570581.344,81.99537721,-1633877.443,111.43512,0.0150588,-2727316,0,0,0,WOLLASTONITE, CaSiO3,Wollastonite-1A,39.93683014,3.993683014,Webmineral,
SPHENE,CaSiTiO5,(C),298.15,1673,-2495623.7,129.2686715,-2601612.836,177.31737,0.02317382,-4028228,0,0,0,SPHENE, CaSiTiO5,Titanit,55.64759169,5.564759169,Webmineral,
SiBe2O4,[],(C),298.15,1833,-2053933.675,64.42760325,-2143785.196,124.02595,0.07851491,-4534372,0,-3.3464E-05,0,,,,,,,
Ca2Si,[],(C),298.15,1183,-217606.1762,81.15751568,-209147.8187,67.3463,0.0179869,0,0,0,0,Ca2Si, Ca2Si,,49.99174764,4.999174764,Materialsproject,
SiBr3,[],(G),298.15,6000,-279563.6979,351.2123955,-225998.7796,80.05488586,0.006619464,-567158,0,-5.16553E-06,1.38506E-09,,,,,,,
CaSi,[],(C),298.15,1513,-154992.2031,45.18114468,-150586.5853,42.6666,0.0150588,0,0,0,0,CaSi, CaSi,,28.67442323,2.867442323,Materialsproject,
SiBr4,[],(G),298.15,6000,-462442.159,379.259898,-415798.7148,102.7340393,0.011418773,-748086,0,-8.88336E-06,2.37681E-09,,,,,,,
CaSi2,[],(C),298.15,1263,-154221.9879,50.62121836,-150585.9372,60.6535,0.0271895,0,0,0,0,CaSi2, CaSi2,,40.7464066,4.07464066,Materialsproject,
SiBr,[],(G),298.15,6000,124312.0937,247.1836795,175149.7986,43.24151611,-0.011085858,-171946,0,8.74413E-06,-2.23556E-09,,,,,,,
SiCdO3,[],(C),298.15,1514,-1128855.658,97.47283483,-1190061.336,87.843,0.0426666,-1045750,0,0,0,SiCdO3, SiCdO3,,39.96192239,3.996192239,Materialsproject,
SiBr2,[],(G),298.15,6000,-105245.1476,304.6086746,-50999.10169,56.50170898,0.003648978,-335404,0,-2.85163E-06,7.65385E-10,,,,,,,
Si3Cr5,[],(C),298.15,1920,-325366.4889,179.3186822,-324994.425,119.262,0.314195,-276000,0,-0.000300612,1.08954E-07,Si3Cr5, Si3Cr5,,56.85322427,5.685322427,Materialsproject,
