XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,A,B,C,D,E,F,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen
NbBr3O,[],(G),298.15,6000,-626120.6764,390.629679,-595000.0035,95.64756775,0.024837894,-543296,0,-1.84708E-05,4.78728E-09,,,,,,,
NbC,[],(C),298.15,3753,-145166.023,36.39369069,-140556.0184,45.080191,0.00728093,-892836,0,-1.88235E-08,1.37537E-12,,,,,,,
NbC,[],(L),298.15,6000,4563696.633,6128.694392,3121733.14,27.762571,0.118763736,-1114769500,0,-3.26432E-05,2.49198E-09,,,,,,,
Nb2C,[],(C),298.15,3363,-203006.0412,66.92410926,-194909.5681,66.30055,0.012804163,-848312,0,-1.69662E-07,3.52376E-11,,,,,,,
Nb50C49,[],(C),298.15,3000,-7152619.556,1753.182867,-6943566.368,2307.6,0.4421,-60304000,0,-0.000116526,2.13144E-08,,,,,,,
NbCl5,[],(C),298.15,479,-684130.3272,216.3945084,-798095.6732,155.79,0.002409,-1085200,0,0,0,,,,,,,
NbCl5,[],(L),298.15,800,-649496.548,260.7435978,-774167.7213,206,0,0,0,0,0,,,,,,,
NbCl5,[],(G),298.15,6000,-647933.0179,403.8352623,-702898.4937,128.6703491,0.009361792,-952150,0,-7.31585E-06,1.9637E-09,,,,,,,
NbCl3O,[],(G),298.15,6000,-721009.1173,356.5587434,-753000.2006,93.40211487,0.029608002,-762468,0,-2.2172E-05,5.77576E-09,,,,,,,
NbF5,[],(G),298.15,6000,-1662794.415,339.4742443,-1717004.371,108.2837677,0.051741577,-1585032,0,-3.97132E-05,1.05254E-08,,,,,,,
NbF5,[],(C),298.15,353,-1702710.189,158.8535474,-1813795.957,-233.613,0.966708,7132700,0,0,0,,,,,,,
NbF5,[],(L),298.15,500,-1688685.541,193.0478658,-1801686.489,150.6,0,0,0,0,0,,,,,,,
NbF3O,[],(G),298.15,6000,-1325028.51,320.8499161,-1356392.242,80.71432495,0.055757739,-1001808,0,-4.20457E-05,1.10063E-08,,,,,,,
NbI5,[],(G),298.15,6000,-172670.6717,499.3037035,-114996.2405,132.4439392,0.001274846,-344286,0,-1.00541E-06,2.71739E-10,,,,,,,
NbI3O,[],(G),298.15,6000,-433289.1894,418.7142811,-395999.8074,96.56114197,0.022938669,-398454,0,-1.70172E-05,4.40258E-09,,,,,,,
NNb,[],(G),298.15,6000,602668.3414,232.1986645,633176.8971,23.25165939,0.049897791,-163492,0,-4.33996E-05,1.20972E-08,,,,,,,
NNb,[],(C),298.15,2323,-219601.4882,45.33240681,-236324.7463,135.02724,-0.195689106,-5447328,0,0.00015519,-3.68131E-08,,,,,,,
NNb,[],(L),298.15,6000,-354205.9329,-273.0271178,-351069.1821,13.138803,0.026009057,68601200,0,-5.02864E-06,3.39927E-10,,,,,,,
NNb2,[],(C),298.15,2673,-241344.9905,79.42037148,-253053.4217,51.714429,0.044218493,468496,0,-2.16408E-05,4.27891E-09,,,,,,,
Nb,[],(C),298.15,2750,1.050411704,36.27245255,0.732994527,26.472,-0.000408,-186900,0,2.101E-06,0,,,,,,,
Nb,[],(L),298.15,6000,16822.83518,19.30356903,5881.9537,41.8,0,0,0,0,0,,,,,,,
Nb,[],(G),298.15,10000,681585.1895,186.166972,723138.2565,37.17233276,-0.020918237,-157686,0,1.23522E-05,-2.60737E-09,,,,,,,
NbO,[],(C),298.15,2217,-380693.7923,46.00412097,-405998.771,42.184,0.00993,-368400,0,0,0,,,,,,,
NbO,[],(L),298.15,5000,-320617.015,39.80300732,-376885.918,65,0,0,0,0,0,,,,,,,
NbO,[],(G),298.15,10000,180385.9955,238.8532239,211000.87,27.19671631,0.019713467,-101338,0,-1.43778E-05,4.23964E-09,,,,,,,
NbO2,[],(C),298.15,2360,-743872.2888,54.29579686,-794998.2717,89.363,-0.06117,-1721700,0,6.64E-05,0,,,,,,,
NbO2,[],(L),298.15,5000,-655241.0938,43.38493966,-752310.7227,100,0,0,0,0,0,,,,,,,
NbO2,[],(G),298.15,6000,-212996.0511,269.8022705,-201251.3376,33.93388367,0.048771161,-354436,0,-3.67128E-05,9.72031E-09,,,,,,,
Nb2O5,[],(C),298.15,1783,-1773315.486,137.1132675,-1896996.046,23.284,0.432001,1235700,0,-0.000424912,1.40967E-07,,,,,,,
Nb2O5,[],(L),298.15,5000,-1648155.18,131.7868635,-1835212.014,200,0,0,0,0,0,,,,,,,
NdH2,[],(C),298.15,1200,-165247.6359,58.90096993,-192416.7089,38.23262,0.01610455,0,0,0,0,,,,,,,
Nd,[],(C),298.15,1289,1.435772527,71.80275694,0.820978474,18.287,0.022551,212500,0,0,0,,,,,,,
Nd,[],(L),298.15,5500,-62106.86274,-54.12382136,-49818.59424,11.531,0.01282,29114200,0,0,0,,,,,,,
Nd,[],(G),298.15,10000,291225.2375,189.2951302,327127.8615,13.48940659,0.035255078,36214,0,-2.87516E-05,8.64696E-09,,,,,,,
NdO,[],(G),298.15,6000,-146587.5028,242.4756558,-124236.0315,11.89292908,0.118653687,-74656,0,-0.000110819,3.2192E-08,,,,,,,
Nd2O3,[],(C),298.15,2593,-1727450.831,158.6111959,-1808296.663,109.775,0.042233,-930700,0,-6.377E-06,0,,,,,,,
Nd2O3,[],(L),298.15,6000,-1675406.266,80.69631018,-1793888.937,200,0,0,0,0,0,,,,,,,
Nd2S3O12,[],(C),298.15,1100,-3625780.943,288.2361254,-3898547.823,213.333,0.1986925,0,0,0,0,,,,,,,
Nd2Zr2O7,[],(C),298.15,2623,-3898972.623,259.3684713,-4045958.3,255.163,0.0447581,-4015680,0,0,0,,,,,,,
NdS,[],(C),298.15,2480,-455540.9193,77.80869743,-451762.5398,46.18032,0.008366,0,0,0,0,,,,,,,
Nd2S3,[],(C),298.15,2480,-1165739.348,185.2355637,-1154504.326,118.50439,0.01334377,0,0,0,0,,,,,,,
Nd2Se3,[],(C),298.15,1830,-946580.4681,185.2363329,-941171.0961,125.95013,0.01401305,0,0,0,0,,,,,,,
NdSe,[],(C),298.15,2100,-365314.4438,90.35776516,-359736.5195,47.47705,0.0062745,0,0,0,0,,,,,,,
Nd2Te3,[],(C),298.15,1650,-815868.6999,253.3358326,-794766.0187,128.54359,0.01397122,0,0,0,0,,,,,,,
NdTe,[],(C),298.15,2303,-307335.7661,97.46894853,-301174.4947,48.35548,0.00610718,0,0,0,0,,,,,,,
NdB6,[],(C),298.15,2723,-178579.9061,103.455736,-165224.9744,100.9928984,0.090549515,-2416304,0,1.68456E-07,0,,,,,,,
Ne,[],(G),298.15,20000,1.59964591,146.2199915,0.976096614,20.78602219,0,0,0,0,0,,,,,,,
NiB,[],(C),298.15,1873,-104714.2616,30.12107829,-100390.9646,42.91758,0.0146405,-1125226,0,0,0,,,,,,,
Ni4B3,[],(C),298.15,1853,-327713.0897,114.6270829,-311629.1604,155.94224,0.04910842,-3777248,0,0,0,,,,,,,
Ni3C,[],(C),298.15,800,18991.25012,106.2589284,37650.19881,100.392,0.020915,0,0,0,0,,,,,,,
NiCO3,[],(C),298.15,700,-621719.5106,85.34222411,-679734.311,92.026,0.0389019,-1233984,0,0,0,NiCO3, NiCO3,"Gaspeit=(Ni,Mg,Fe)CO3",28.03487188,2.803487188,Materialsproject,Data for Ni end member
NiCl2,[],(L),298.15,2000,-147836.3762,128.5039631,-245072.9926,100,0,0,0,0,0,,,,,,,
NiCl2,[],(G),298.15,6000,-86055.97796,294.1977111,-73979.61374,59.0358963,0.013667407,-388074,0,-8.59299E-06,1.84372E-09,,,,,,,
NiCl,[],(G),298.15,6000,150846.9163,245.1421364,181205.397,40.22957611,-0.005013406,-67562,0,1.13041E-05,-3.94036E-09,,,,,,,
NiCl2,[],(C),298.15,1304,-258188.4574,98.10720985,-304777.8504,89.341,-0.022003,-1130300,0,0.000018045,0,NiCl2, NiCl2,,35.66673087,3.566673087,Materialsproject,
NiF,[],(G),298.15,6000,53425.75382,234.1448362,83695.35734,31.20307541,0.026479852,-74284,0,-2.20785E-05,6.10662E-09,,,,,,,
NiF2,[],(C),298.15,1653,-612098.0204,73.60644477,-657298.0805,63.999,0.016728,-437900,0,0,0,NiF2, NiF2,,20.76976127,2.076976127,Materialsproject,
NiF2,[],(L),298.15,2600,-555493.7306,60.5696858,-630940.1024,105,0,0,0,0,0,,,,,,,
NiF2,[],(G),298.15,6000,-352563.5315,268.057699,-341043.2578,47.90093231,0.037450348,-423058,0,-2.66901E-05,6.56466E-09,,,,,,,
NiH,[],(G),298.15,6000,309284.0947,201.7680616,341551.9161,23.15405655,0.025768079,66956,0,-9.15556E-06,1.18499E-09,,,,,,,
NiO2H2,[],(C),298.15,1500,-456196.0814,80.00824212,-531997.5415,92.943,0.013384,-1327500,0,0,0,NiO2H2, NiO2H2,Theophrastit,23.55861465,2.355861465,Webmineral,Ni(OH)2
NiO2H2,[],(G),298.15,6000,-225346.8288,287.1848977,-243346.2959,85.2747345,0.020696487,-1037398,0,-6.07958E-06,9.46342E-10,,,,,,,
NiOH,[],(G),298.15,6000,93577.39276,246.468783,110470.948,44.3775177,0.015524176,-266266,0,-1.18035E-07,-1.2518E-09,,,,,,,
NiO2H,[],(C),298.15,1500,-326893.88,55.00703598,-391997.9017,73.457,0.027582,-1038300,0,0,0,,,,,,,
Ni,[],(C),298.15,1728,0.962529304,29.87261118,0.779125768,5.156,0.137823,-33900,0,-0.000299748,2.55418E-07,Ni, Ni,Nickel,6.588221991,0.658822199,Webmineral,
Ni,[],(L),298.15,4700,18599.0868,27.37342522,8927.0212,39,0,0,0,0,0,,,,,,,
Ni,[],(G),298.15,10000,384695.9574,182.07934,428038.3526,18.82729721,0.017408203,54588,0,-1.56685E-05,4.24529E-09,,,,,,,
NiO,[],(C),298.15,2228,-213909.176,37.82445186,-239698.6721,-1.381,0.123358,791300,0,0,0,NiO, NiO,Bunsenit,10.97083493,1.097083493,Webmineral,
NiO,[],(L),298.15,4000,-162791.4073,34.98546037,-214563.9344,67,0,0,0,0,0,,,,,,,
NiO,[],(G),298.15,6000,274402.6988,230.8457206,303269.6557,44.6913681,-0.0130155,-409196,0,9.26668E-06,-1.70979E-09,,,,,,,
NiSO4,[],(C),298.15,1200,-803645.69,97.05985409,-888883.7499,129.29653,0.04149536,0,0,0,0,NiSO4, NiSO4,,40.14359031,4.014359031,Materialsproject,
NiSeO3,[],(C),298.15,900,-508127.4323,103.3298911,-567212.0806,79.477,0.0598169,0,0,0,0,,,,,,,
NiTiO3,[],(C),298.15,1700,-1144450.128,99.28512308,-1201982.023,115.07433,0.01597906,-1832154,0,0,0,NiTiO3, NiTiO3,,31.23082198,3.123082198,Materialsproject,
NiWO4,[],(C),298.15,986,-1055226.208,118.8094324,-1133589.353,101.98154,0.06571493,0,0,0,0,,,,,,,
NiP2,[],(C),298.15,1100,-146625.0605,73.209651,-142700.8678,64.8365,0.020915,0,0,0,0,NiP2, NiP2,Negevit,24.79767011,2.479767011,Mindat,
NiP3,[],(C),298.15,1000,-168980.5076,98.31080601,-164463.9271,93.6992,0.029281,0,0,0,0,NiP3, NiP3,,36.05500839,3.605500839,Materialsproject,
Ni3P,[],(C),298.15,1243,-232325.7147,106.2570322,-219897.3665,77.8038,0.033464,0,0,0,0,Ni3P, Ni3P,,26.25623261,2.625623261,Materialsproject,
Ni5P2,[],(C),298.15,1453,-456776.3853,184.9038884,-436031.4415,135.1109,0.0564705,0,0,0,0,Ni5P2, Ni5P2,,46.09727626,4.609727626,,
Ni2P,[],(C),298.15,1383,-192703.5221,77.3920193,-184761.0561,57.93455,0.0230065,0,0,0,0,Ni2P, Ni2P,,20.08885789,2.008885789,Materialsproject,
Ni6P5,[],(C),298.15,1200,-644417.7186,276.1043757,-621276.1357,240.9408,0.071111,0,0,0,0,,,,,,,
NiS,[],(C),298.15,1269,-88503.44825,52.96147622,-81985.59974,38.69275,0.0267712,0,0,0,0,NiS, NiS,Millerit,16.88742094,1.688742094,Webmineral,
NiSb,[],(C),298.15,1423,-95242.50988,78.22709953,-83658.50935,46.22215,0.01162874,0,0,0,0,NiSb, NiSb,Breithauptit,20.66196495,2.066196495,Webmineral,
NiSe,[],(C),298.15,1253,-86072.92073,75.17387562,-74874.40179,40.437061,0.029377209,372288,0,0,0,,,,,,,
NiSe2,[],(C),298.15,1123,-121303.8473,103.4950098,-108755.7378,72.754919,0.020676569,-307450,0,0,0,,,,,,,
Ni7Se8,[],(C),298.15,1253,-17087.2749,77.1400496,-79684.35124,39.981114,0.050229464,0,0,0,0,,,,,,,
Ni4Se5,[],(C),298.15,1100,-54951.01491,80.06833918,-83031.29494,53.391812,0.022115521,-279006,0,0,0,,,,,,,
Ni3Sn,[],(C),298.15,3000,-120765.2521,131.3562258,-102899.0107,86.92274,0.0426666,0,0,0,0,Ni3Sn, Ni3Sn,Nisnit,31.37535336,3.137535336,Mindat,
Ni3Sn2,[],(C),298.15,3000,-213940.6297,173.6054313,-192414.7407,97.0456,0.0389019,0,0,0,0,Ni3Sn2, Ni3Sn2,,45.95104175,4.595104175,Materialsproject,
Ni3Sn4,[],(C),298.15,1000,-264219.6688,257.689151,-235498.1247,178.40495,0.0129673,-1756860,0,0,0,Ni3Sn4, Ni3Sn4,,76.99788733,7.699788733,Materialsproject,
NiTe,[],(C),298.15,800,-46745.7708,80.02607363,-35637.42457,48.39731,0.0138039,0,0,0,0,,,,,,,
NiTi2,[],(C),298.15,1288,-95811.70022,83.66754195,-83657.75127,67.97375,0.0234248,0,0,0,0,NiTi2, NiTi2,,26.99123489,2.699123489,Materialsproject,
Ni3Ti,[],(C),298.15,1651,-154612.7231,104.5844003,-140127.1988,108.92532,0.01685749,-1819604,0,0,0,Ni3Ti, Ni3Ti,,28.140711,2.8140711,Materialsproject,
NiTi,[],(C),298.15,1513,-73893.0753,53.12880268,-66508.59784,52.99861,0.0096209,-811502,0,0,0,NiTi, NiTi,,16.56269373,1.656269373,Materialsproject,
PbBr2,[],(G),298.15,6000,-156901.6663,339.5637154,-103998.6166,58.08744049,0.000245932,-104874,0,-1.93379E-07,5.2116E-11,,,,,,,
PbBr3,[],(G),298.15,6000,-147232.6909,395.8912735,-93475.98562,82.89845276,0.000533288,-192728,0,-4.20028E-07,1.134E-10,,,,,,,
PbBr4,[],(G),298.15,6000,-279912.9161,427.6171117,-232470.9521,107.6270905,0.000999051,-301772,0,-7.86915E-07,2.12482E-10,,,,,,,
PbBr,[],(G),298.15,6000,21555.66725,272.6358823,69812.69661,37.13532257,0.001422261,-49846,0,-1.07261E-06,4.81859E-10,,,,,,,
Pb2CO4,[],(C),298.15,700,-746916.5287,204.1438157,-816517.9999,89.68352,0.146405,0,0,0,0,Pb2CO4, Pb2CO4,Shannonit,51.71212271,5.171212271,Webmineral,Pb2OCO3
PbCO3,[],(C),298.15,800,-649780.9751,130.9367037,-702532.375,51.82737,0.1196338,0,0,0,0,PbCO3, PbCO3,Cerussit,40.59073426,4.059073426,Webmineral,
PbCl3,[],(G),298.15,6000,-157133.7661,358.7427356,-167240.2766,81.78356934,0.002932426,-412478,0,-2.29674E-06,6.17312E-10,,,,,,,
PbCl4,[],(G),298.15,6000,-315694.2456,381.5720786,-352426.7286,106.057724,0.004375144,-582370,0,-3.42814E-06,9.21893E-10,,,,,,,
PbCl2,[],(G),298.15,6000,-185863.2395,315.5110976,-175546.2766,57.55123138,0.001402917,-229642,0,-1.10041E-06,2.96106E-10,,,,,,,
PbCl,[],(G),298.15,6000,-18162.51689,261.196485,8825.656101,36.89653015,0.001897106,-100672,0,-1.46655E-06,5.90266E-10,,,,,,,
PbCl2,[],(C),298.15,774,-313047.4761,136.0077377,-359397.6914,75.603,0.018585,-369700,0,0,0,PbCl2, PbCl2,Cotunnit,47.06754664,4.706754664,Webmineral,
PbCl2,[],(L),298.15,2300,-295695.9268,137.4168329,-350511.7926,111,0,0,0,0,0,,,,,,,
PbF2,[],(C),298.15,1103,-628547.1278,106.0072624,-675997.8346,59.067,0.039966,113400,0,0,0,PbF2, PbF2,Fluorocronit,31.41043233,3.141043233,Mineralienatlas,
PbF2,[],(L),298.15,3200,-616000.8003,98.66696395,-670818.6352,109,0,0,0,0,0,,,,,,,
PbF2,[],(G),298.15,6000,-438685.8124,291.4154434,-428427.6494,53.758461,0.009437589,-444760,0,-7.32215E-06,1.95538E-09,,,,,,,
PbF3,[],(G),298.15,6000,-500139.3428,322.1810298,-510001.0336,74.40602112,0.018477942,-749292,0,-1.42912E-05,3.80799E-09,,,,,,,
PbF4,[],(G),298.15,6000,-788614.7053,331.7006763,-825001.5677,95.92883301,0.025691602,-1045252,0,-1.98602E-05,5.29003E-09,,,,,,,
PbF,[],(G),298.15,6000,-98852.41818,249.8499083,-71880.8035,35.32774353,0.005196711,-191460,0,-4.04877E-06,1.27593E-09,,,,,,,
PbI3,[],(G),298.15,6000,-56378.34407,416.4239322,1938.847175,83.03884888,0.000229655,-128714,0,-1.8188E-07,4.9405E-11,,,,,,,
PbI4,[],(G),298.15,6000,-126627.5685,463.6991295,-71213.70485,107.9724121,0.000249009,-158056,0,-1.95763E-07,5.28061E-11,,,,,,,
PbI,[],(G),298.15,6000,61560.58763,274.5420278,109908.2349,36.99060059,0.00196432,-24826,0,-1.88128E-06,8.65809E-10,,,,,,,
PbI2,[],(G),298.15,6000,-58965.23651,352.5028653,-2998.154689,58.12227631,0.000170106,-87164,0,-1.3345E-07,3.58827E-11,,,,,,,
PbO,[],(C),298.15,1160,-190923.7962,67.84466125,-218598.609,41.07,0.02001,-55300,0,0,0,PbO, PbO,Massicot,22.74261458,2.274261458,Webmineral,
PbO,[],(L),298.15,3200,-159672.2559,73.44630206,-202138.3235,65,0,0,0,0,0,,,,,,,
PbO_R,[R],(C),298.15,1160,-190667.2044,68.70459749,-218098.6283,44.96,0.013267,-279400,0,0,0,,,,,,,
PbO,[],(G),298.15,6000,44237.71364,239.9292251,68134.95699,32.05347443,0.011459154,-202190,0,-8.46056E-06,2.25354E-09,,,,,,,
PbO2,[],(C),298.15,1000,-221577.1143,71.92612975,-275998.1717,84.01,0.00416,-2156000,0,0,0,PbO2, PbO2,Plattnerit,31.15855629,3.115855629,Webmineral,
PbO2,[],(G),298.15,6000,6040.606995,260.9713169,6697.396106,52.94150543,0.01967446,-521774,0,-1.5093E-05,3.99866E-09,,,,,,,
Pb2O3,[],(C),298.15,1000,-412527.3755,151.9108199,-491696.7688,125.21,0.04526,-2756000,0,0,0,Pb2O3, Pb2O3,,49.06373575,4.906373575,Materialsproject,
Pb3O4,[],(C),298.15,1000,-610909.8117,211.3147358,-719995.5992,213.99,0.02297,-6590000,0,0,0,Pb3O4, Pb3O4,Minium,76.80186665,7.680186665,Webmineral,
Pb2SO5,[],(C),298.15,1243,-1071665.958,206.6553812,-1171235.473,87.843,0.1451501,1756860,0,0,0,Pb2SO5, Pb2SO5,Lanarkit,75.0027521,7.50027521,Webmineral,Pb2(SO4)O
Pb3SO6,[],(C),298.15,1223,-1280748.202,274.4245575,-1398789.109,128.8364,0.1602089,1756860,0,0,0,Pb3SO6, Pb3SO6,,106.6015269,10.66015269,Materialsproject,
Pb4SO7,[],(C),298.15,800,-1489331.581,340.5205885,-1626342.728,170.2481,0.175686,1756860,0,0,0,,,,,,,
PbSO4,[],(C),298.15,1387,-839935.1857,148.5069913,-918164.8719,45.84568,0.129673,1756860,0,0,0,PbSO4, PbSO4,Anglesit,47.9512958,4.79512958,Webmineral,
PbSO4,[],(L),298.15,2000,-817232.53,91.95189575,-915243.0685,209.15,0,0,0,0,0,,,,,,,
PbSeO3,[],(C),298.15,953,-472560.8108,128.4281083,-532493.0158,85.7515,0.046013,0,0,0,0,,,,,,,
PbTiO3,[],(C),298.15,1443,-1136327.228,111.9057465,-1198426.872,119.50831,0.01790324,-1819604,0,0,0,PbTiO3, PbTiO3,Macedonit,38.33694808,3.833694808,Webmineral,
PbWO4,[],(C),298.15,1398,-1049481.123,168.169777,-1121458.071,119.2155,0.03940386,0,0,0,0,,,,,,,
Pb,[],(C),298.15,601,1.382041533,64.80268158,0.799055775,24.489,0.008954,-45200,0,0,0,,,,,,,
Pb,[],(L),298.15,3600,6293.673333,70.98458695,4068.358215,36.287,-0.01028,-315800,0,0.000004113,-4.35E-10,,,,,,,
Pb,[],(G),298.15,10000,161594.1592,175.2681786,195201.2775,19.80344391,0.003611926,24122,0,-4.71899E-06,2.1036E-09,,,,,,,
Pb2,[],(G),298.15,6000,258272.9786,277.5633035,305565.9588,37.13594055,0.001377135,-6696,0,7.78178E-07,-1.9209E-10,,,,,,,
PbS,[],(C),298.15,1386,-97690.9159,91.20497218,-99612.51622,60.96,-0.01881,-626000,0,0.00001338,0,,,,,,,
PbS,[],(L),298.15,3000,-30687.23652,105.988807,-63908.3101,67,0,0,0,0,0,,,,,,,
PbS,[],(G),298.15,6000,79914.32323,251.3030163,127806.6077,36.32839966,0.002660519,-168090,0,-1.81477E-06,5.03886E-10,,,,,,,
PbS2,[],(G),298.15,6000,69825.86372,286.0285576,118327.9963,60.55859375,0.003862348,-351798,0,-3.01714E-06,8.09542E-10,,,,,,,
PbSe,[],(G),298.15,4000,67327.18983,263.4448069,126328.09,37.39602,0,-104576,0,0,0,,,,,,,
PbSe,[],(C),298.15,1350,-110984.2899,102.4885516,-99972.4938,47.22607,0.00999737,0,0,0,0,,,,,,,
PbSe,[],(L),298.15,2500,-34625.4006,126.1303971,-58270.551,62.745,0,0,0,0,0,,,,,,,
PbTe,[],(G),298.15,4000,95310.02664,271.5347753,155186.1021,37.39602,0,-58562,0,0,0,,,,,,,
PbTe,[],(C),298.15,1197,-80319.32833,110.017985,-68599.48387,47.18424,0.01125227,0,0,0,0,,,,,,,
PbTe,[],(L),298.15,2500,10607.59823,146.3798233,-17717.7563,62.745,0,0,0,0,0,,,,,,,
Pm2O3,[],(L),298.15,6000,-1675131.985,82.7258512,-1794238.96,200,0,0,0,0,0,,,,,,,
PmO,[],(G),298.15,6000,-137995.8503,246.312751,-114898.0272,29.95111847,0.04117218,-147292,0,-2.94722E-05,7.14629E-09,,,,,,,
Pm2O3,[],(C),298.15,2593,-1728496.343,156.011358,-1809996.614,125.805,0.023317,-1756300,0,0,0,,,,,,,
Pm,[],(C),298.15,1315,1.468331948,72.0028142,0.839316834,21.795,0.020812,0,0,0,0,,,,,,,
Pm,[],(L),298.15,5000,11041.3508,68.50892806,4999.918,44,0,0,0,0,0,,,,,,,
Pm,[],(G),298.15,10000,224088.6758,186.8218181,259161.0719,24.92317963,0.009517012,-272484,0,-5.41388E-06,1.08447E-09,,,,,,,
PrH2,[],(C),298.15,1200,-170081.6282,56.76744372,-198272.7675,35.47184,0.0188235,0,0,0,0,,,,,,,
Pr2O3,[],(L),298.15,6000,-1664274.58,87.94361533,-1788319.007,200,0,0,0,0,0,,,,,,,
PrO,[],(G),298.15,6000,-167822.1357,244.32567,-145405.5979,8.89653587,0.063368774,695694,0,-2.3093E-05,1.84015E-10,,,,,,,
Pr2O3,[],(C),298.15,2573,-1727720.023,158.0118602,-1809596.465,121.397,0.025906,-988600,0,0,0,,,,,,,
Pr,[],(C),298.15,1205,1.490965427,74.00275407,0.821811109,50.73,-0.099562,-510800,0,0.000156075,-6.6911E-08,,,,,,,
Pr,[],(L),298.15,6000,-20111.7899,23.25396738,-17618.40978,32.996,0.00289,10672100,0,0,0,,,,,,,
Pr,[],(G),298.15,10000,320130.4122,189.6949828,355812.0704,12.70535851,0.030915259,113668,0,-2.34729E-05,8.76673E-09,,,,,,,
PrS,[],(C),298.15,2500,-455154.9639,77.80915927,-451762.4021,51.95286,0.004400516,0,0,0,0,,,,,,,
Pr3S4,[],(C),298.15,2373,-1565740.169,256.0176223,-1553979.626,174.4311,0.01572808,0,0,0,0,,,,,,,
PrB6,[],(C),298.15,2523,-132265.0216,96.72097071,-121304.0151,86.35576102,0.101111833,-1460394,0,-6.57179E-06,0,,,,,,,
Pu2O3,[],(L),298.15,5500,-1524455.05,102.3452073,-1641931.787,200,0,0,0,0,0,,,,,,,
PuO,[],(G),298.15,10000,-90970.6268,247.8719535,-61940.61238,91.0974884,-0.104931372,-2440590,0,7.72853E-05,-1.76566E-08,,,,,,,
PuO2,[],(C),298.15,2663,-1002945.769,66.1366643,-1055798.013,83.319,0.011684,-1827000,0,0,0,,,,,,,
PuO2,[],(L),298.15,6000,-1005114.083,4.383243012,-1066086.573,131,0,0,0,0,0,,,,,,,
PuO2,[],(G),298.15,10000,-419173.3519,277.6664573,-412378.3442,32.88199615,0.080424524,252974,0,-5.91853E-05,1.48292E-08,,,,,,,
Pu2O3,[],(C),298.15,2358,-1598678.488,163.0317473,-1669996.494,169.466,-0.07998,-2545900,0,0,0,,,,,,,
Pu,[],(C),298.15,913,1.390165218,54.49313271,0.935537891,42.342,-0.071621,0,0,0,3.84934E-07,,,,,,,
Pu,[],(L),298.15,5600,7468.460091,62.92351671,4991.1486,42.5,0,0,0,0,0,,,,,,,
Pu,[],(G),298.15,10000,310753.1285,177.0810289,348006.4762,9.42063332,0.022510205,409384,0,2.22612E-06,-1.80537E-09,,,,,,,
RbBO2,[],(C),298.15,1133,-921417.4573,94.32738413,-974997.7995,78.362,0.032042,-1291200,0,0,0,,,,,,,
RbBO2,[],(L),298.15,3000,-927184.5286,52.28647274,-984147.0494,145,0,0,0,0,0,,,,,,,
RbBO2,[],(G),298.15,6000,-688137.8291,308.184115,-678977.5567,49.43743134,0.054010657,-307248,0,-3.42689E-05,7.91547E-09,,,,,,,
RbBr,[],(L),298.15,3500,-364152.9361,115.1026597,-381750.5824,72.8,0,0,0,0,0,,,,,,,
RbBr,[],(G),298.15,6000,-233177.9699,261.0221273,-191509.8956,37.31328583,0.001060189,-35662,0,-1.48603E-07,1.03289E-10,,,,,,,
Rb2Br2,[],(G),298.15,6000,-597172.8579,398.2670757,-551799.2701,83.10943604,7.6954E-05,-83012,0,-6.17997E-08,1.6997E-11,,,,,,,
RbBr,[],(C),298.15,965,-388699.3578,110.1053088,-394768.419,48.629,0.013856,0,0,0,0,,,,,,,
Rb2CO3,[],(C),298.15,1146,-1052034.291,181.3418062,-1132596.476,70.968,0.156403,0,0,0,0,,,,,,,
Rb2CO3,[],(L),298.15,3500,-1051442.306,140.7430863,-1138351.137,205,0,0,0,0,0,,,,,,,
Rb2Cl2,[],(G),298.15,6000,-621094.3811,374.3658569,-618370.327,83.03587341,0.000234614,-146704,0,-1.84348E-07,4.96119E-11,,,,,,,
RbCl,[],(C),298.15,997,-407398.6974,95.23524815,-435218.4332,48.515,0.01256,0,0,0,0,,,,,,,
RbCl,[],(L),298.15,3400,-382968.2797,98.44829524,-422524.5608,73.4,0,0,0,0,0,,,,,,,
RbCl,[],(G),298.15,6000,-243623.9032,249.5841162,-223321.6041,37.2469635,0.001144203,-65462,0,-2.00624E-07,1.03982E-10,,,,,,,
RbF,[],(C),298.15,1068,-530759.2196,77.70508553,-559698.4812,42.343,0.026024,46900,0,0,0,,,,,,,
RbF,[],(L),298.15,3400,-497995.7388,85.59616628,-542140.9557,71,0,0,0,0,0,,,,,,,
RbF,[],(G),298.15,6000,-353378.7604,237.0110712,-333510.3697,36.71340179,0.002182977,-138854,0,-1.13598E-06,3.41499E-10,,,,,,,
Rb2F2,[],(G),298.15,6000,-855790.7134,342.7208083,-854911.4527,82.51690674,0.001357188,-334454,0,-1.06593E-06,2.87077E-10,,,,,,,
RbOH,[],(L),298.15,3000,-356070.5085,110.9634432,-406573.9401,83,0,0,0,0,0,,,,,,,
RbOH,[],(G),298.15,6000,-246737.4349,248.389189,-241302.4097,55.52690887,-0.007183496,-412312,0,9.39307E-06,-2.56804E-09,,,,,,,
