Cu(OH)2 Na+ 0.09
Cu(OH)2- Na+ -0.05
Cu(OH)3- Na+ 0.4
Cu(OH)4-2 Na+ 0.19
Cu2(OH)2+2 Cl- 0.29
Cu2(OH)2+2 ClO4- 0.29
Cu2Cl4-2 Na+ -0.1
Cu2OH+3 Cl- 0.54
Cu2OH+3 ClO4- 0.54
Cu2S(HS)2-2 Na+ -0.1
Cu3(OH)4+2 Cl- 0.33
Cu3(OH)4+2 ClO4- 0.33
CuCl2 Cl- 0.14
CuCl2 ClO4- 0.14
CuCl2 Na+ 0.14
CuCl2- Na+ -0.05
CuCl3-2 Na+ -0.1
CuCl+ Cl- 0.3
CuCl+ ClO4- 0.3
CuCO3 Cl- -0.005
CuCO3 ClO4- -0.005
CuCO3 Na+ -0.005
CuH2PO4+ Cl- 0.1
CuH2PO4+ ClO4- 0.1
CuHCO3+ Cl- 0.46
CuHCO3+ ClO4- 0.46
CuOH+ Cl- -0.15
CuOH+ ClO4- -0.15
Cu+2 Cl- 0.32
Cu+2 ClO4- 0.32
Cu+ Cl- 0.11
Cu+ ClO4- 0.11
CuSO4 Cl- 0.075
CuSO4 ClO4- 0.075
CuSO4 Na+ 0.075
Edta-4 Na+ 0.32
Eu(CO3)2- Na+ -1.17
Eu(OH)2+ Cl- 0.05
Eu(OH)2+ ClO4- 0.2
Eu(OH)4- Na+ -0.05
Eu(SO4)2- Na+ 0.22
EuCO3+ Cl- 0.05
EuCO3+ ClO4- 0.15
EuF2+ Cl- 0.05
EuF2+ ClO4- 0.2
EuF+2 Cl- 0.15
EuF+2 ClO4- 0.32
EuH2PO4+2 Cl- 0.15
EuH2PO4+2 ClO4- 0.18
EuOH+2 Cl- 0.15
EuOH+2 ClO4- 0.4
Eu+3 Cl- 0.26
Eu+3 ClO4- 0.47
EuSiO(OH)3+2 Cl- 0.42
EuSiO(OH)3+2 ClO4- 0.42
EuSO4+ Cl- 0.05
EuSO4+ ClO4- 0.27
F- Na+ 0.02
Fe(CN)6-3 Na+ -0.15
Fe(CN)6-4 Na+ -0.2
Fe(CO3)2-2 Na+ -0.05
Fe(CO3)3-3 Na+ -0.23
Fe(OH)2+ Cl- 0.43
Fe(OH)2+ ClO4- 0.43
Fe(OH)3- Na+ -0.05
Fe(OH)4- Na+ -0.05
Fe(SCN)2+ Cl- 0.2
Fe(SCN)2+ ClO4- 0.2
Fe(SO4)2-2 Na+ -0.1
Fe(SO4)2- Na+ 0.24
Fe2(OH)2+4 Cl- 1
Fe2(OH)2+4 ClO4- 1
Fe3(OH)4+5 Cl- 1
Fe3(OH)4+5 ClO4- 1
FeCl2+ Cl- 0.52
FeCl2+ ClO4- 0.52
FeCl4- Na+ -0.05
FeCl+2 Cl- 0.64
FeCl+2 ClO4- 0.63
FeCl+ Cl- 0.16
FeCl+ ClO4- 0.2
FeF2+ Cl- 0.1
FeF2+ ClO4- 0.1
FeF+2 Cl- 0.46
FeF+2 ClO4- 0.46
FeF+ Cl- 0.05
FeF+ ClO4- 0.34
FeH2PO4+ Cl- 0.05
FeH2PO4+ ClO4- 0.2
FeHSeO3(H2SeO3)+ Cl- 0.05
FeHSeO3(H2SeO3)+ ClO4- 0.2
FeHSeO3+ Cl- 0.05
FeHSeO3+ ClO4- 0.2
FeHSO4+2 Cl- 0.58
FeHSO4+2 ClO4- 0.58
FeHSO4+ Cl- 0.05
FeHSO4+ ClO4- 0.2
FeOH+2 Cl- 0.27
FeOH+2 ClO4- 0.27
FeOH+ Cl- 0.05
FeOH+ ClO4- 0.2
Fe+2 Cl- 0.17
Fe+2 ClO4- 0.37
Fe+3 Cl- 0.76
Fe+3 ClO4- 0.73
FeSCN+2 Cl- 0.49
