#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
13,MgOH+,16,MgOH+,0.05,0.1,,,,,0,,0,,0,,0,,0,
17,MgSO4(aq),20,MgSO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
34,Mn(OH)2(aq),60,Mn(OH)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
43,Mn(OH)2+,70,Mn(OH)2+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
35,Mn(OH)3-,61,Mn(OH)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
36,Mn(OH)4-2,62,Mn(OH)4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
,Mn+2,58,Mn+2,0.38,0.02,0.38,0.02,,,0,,0,,0,,0,,0,
,Mn+3,68,Mn+3,0.6,0.1,0.6,0.1,,,0,,0,,0,,0,,0,
38,MnCl+,64,MnCl+,0.4,0.03,0.4,0.03,,,0,,0,,0,,0,,0,
48,MnCl+2,75,MnCl+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
39,MnCO3(aq),65,MnCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
37,MnF+,63,MnF+,0.23,0.09,0.23,0.09,,,0,,0,,0,,0,,0,
44,MnF+2,71,MnF+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
45,MnF2+,72,MnF2+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
46,MnF3(aq),73,MnF3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
40,MnHCO3+,66,MnHCO3+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
33,MnOH+,59,MnOH+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
42,MnOH+2,69,MnOH+2,0.4,0.13,0.4,0.13,,,0,,0,,0,,0,,0,
47,MnOHF+,74,MnOHF+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
41,MnSO4(aq),67,MnSO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
6,NaCO3-,8,NaCO3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
5,NaF(aq),6,NaF(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
7,NaHCO3(aq),7,NaHCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
4,NaOH(aq),5,NaOH(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
8,NaSO4-,9,NaSO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,Sr+2,27,Sr+2,0.12,0.01,,,,,0,,0,,0,,0,,0,
25,SrCO3(aq),31,SrCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
24,SrF+,29,SrF+,0.05,0.1,,,,,0,,0,,0,,0,,0,
26,SrHCO3+,30,SrHCO3+,0.05,0.1,,,,,0,,0,,0,,0,,0,
23,SrOH+,28,SrOH+,0.05,0.1,,,,,0,,0,,0,,0,,0,
27,SrSO4(aq),32,SrSO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
