#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
52,Np(CO3)5-6,55,Np(CO3)5-6,0,,0,,0,,,,-0.3,0.5,-0.73,0.68,0,,0,
53,Np(OH)2(CO3)2-2,56,Np(OH)2(CO3)2-2,0,,0,,0,,,,-0.3,0.2,,,0,,0,
54,Np(OH)4CO3-2,57,Np(OH)4CO3-2,0,,0,,0,,,,0.0,0.3,,,0,,0,
55,NpSCN+3,58,NpSCN+3,0.25,0.1,0.76,0.12,,,0,,0,,0,,0,,0,
56,Np(SCN)2+2,59,Np(SCN)2+2,0.15,0.1,0.38,0.2,,,0,,0,,0,,0,,0,
57,Np(SCN)3+,60,Np(SCN)3+,0.05,0.1,0.17,0.04,,,0,,0,,0,,0,,0,
,Np+3,61,Np+3,0.25,0.1,0.49,0.05,,,0,,0,,0,,0,,0,
58,NpOH+2,62,NpOH+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
59,Np(OH)2+,63,Np(OH)2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
60,Np(OH)3(aq),64,Np(OH)3(aq),0,,0,,0,,0,,0,,0,,0,,0,
61,NpF+2,65,NpF+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
62,NpF2+,66,NpF2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
63,NpCl+2,67,NpCl+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
64,NpCl2+,68,NpCl2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
65,NpSO4+,69,NpSO4+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
66,Np(SO4)2-,70,Np(SO4)2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
67,NpCO3+,71,NpCO3+,0.01,0.05,0.17,0.1,,,0,,0,,0,,0,,0,
68,Np(CO3)2-,72,Np(CO3)2-,0,,0,,0,,,,-0.14,0.06,,,0,,0,
69,Np(CO3)3-3,73,Np(CO3)3-3,0,,0,,0,,,,-0.23,0.07,,,0,,0,
