#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
26,Pu(OH)2+2,29,Pu(OH)2+2,0.1,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
27,Pu(OH)3+,30,Pu(OH)3+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
28,Pu(OH)4(aq),31,Pu(OH)4(aq),0,,0,,0,,0,,0,,0,,0,,0,
29,Ca4Pu(OH)8+4,32,Ca4Pu(OH)8+4,-0.01,0.1,0.21,0.17,,,0,,0,,0,,0,,0,
30,PuF+3,33,PuF+3,0.25,0.1,0.56,0.11,,,0,,0,,0,,0,,0,
31,PuF2+2,34,PuF2+2,0.15,0.1,0.36,0.17,,,0,,0,,0,,0,,0,
32,PuCl+3,35,PuCl+3,0.85,0.09,0.85,0.09,,,0,,0,,0,,0,,0,
33,PuSO4+2,36,PuSO4+2,0.15,0.1,0.36,0.14,,,0,,0,,0,,0,,0,
34,Pu(SO4)2(aq),37,Pu(SO4)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
35,PuNO3+3,38,PuNO3+3,0.25,0.1,0.7,0.09,,,0,,0,,0,,0,,0,
36,PuH3PO4+4,39,PuH3PO4+4,0.35,0.1,0.8,0.1,,,0,,0,,0,,0,,0,
37,Pu(CO3)4-4,40,Pu(CO3)4-4,0,,0,,0,,,,-0.2,0.3,,,0,,0,
38,Pu(CO3)5-6,41,Pu(CO3)5-6,0,,0,,0,,,,-0.3,0.5,,,0,,0,
39,PuCO3(OH)3-,42,PuCO3(OH)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,Pu+3,43,Pu+3,0.23,0.02,0.49,0.05,,,0,,0,,0,,0,,0,
40,PuOH+2,44,PuOH+2,0.15,0.1,0.39,0.04,,,0,,0,,0,,0,,0,
41,Pu(OH)2+,45,Pu(OH)2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
42,Pu(OH)3(aq),46,Pu(OH)3(aq),0,,0,,0,,0,,0,,0,,0,,0,
43,PuF+2,47,PuF+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
44,PuF2+,48,PuF2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
45,PuCl+2,49,PuCl+2,0.39,0.16,0.39,0.16,,,0,,0,,0,,0,,0,
46,PuSO4+,50,PuSO4+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
47,Pu(SO4)2-,51,Pu(SO4)2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
48,PuH2PO4+2,52,PuH2PO4+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
59,PuCO3+,53,PuCO3+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
50,Pu(CO3)2-,54,Pu(CO3)2-,0,,0,,0,,,,-0.1,0.1,,,0,,0,
51,Pu(CO3)3-3,55,Pu(CO3)3-3,0,,0,,0,,,,-0.15,0.2,,,0,,0,
52,PuSCN+2,56,PuSCN+2,0.15,0.1,0.39,0.04,,,0,,0,,0,,0,,0,
