formula,Al,C,Ca,Cl,Cr,Cu,Fe,H,K,Mg,Mn,Na,Ni,O,S,Si,Ti,Zr
Mg9Si4O16(OH)2,0,0,0,0,0,0,0,2,0,9,0,0,0,18,0,4,0,0
MgAl2O4,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
MgAl2Si2O6(OH)4,2,0,0,0,0,0,0,4,0,1,0,0,0,10,0,2,0,0
MgAl2SiO5(OH)2,2,0,0,0,0,0,0,2,0,1,0,0,0,7,0,1,0,0
MgAl2SiO6,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0
MgCO3,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
MgCr2O4,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0
MgFe2O4,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0
MgO,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
MgSiO3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0
MgSiO3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0
MgSiO3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0
MgTiO3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0
Mn2Al4Si5O18,4,0,0,0,0,0,0,0,0,0,2,0,0,18,0,5,0,0
Mn2O3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
Mn2SiO4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0
Mn3Al2Si3O12,2,0,0,0,0,0,0,0,0,0,3,0,0,12,0,3,0,0
Mn4Al18Si7.5O44(OH)4,18,0,0,0,0,0,0,4,0,0,4,0,0,48,0,7.5,0,0
Mn5Al2Si3O10(OH)8,2,0,0,0,0,0,0,8,0,0,5,0,0,18,0,3,0,0
MnAl2SiO5(OH)2,2,0,0,0,0,0,0,2,0,0,1,0,0,7,0,1,0,0
MnCO3,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
MnO,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
MnSiO3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0
MnSiO3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0
MnTiO3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0
Na2Fe3Al2Si8O22(OH)2,2,0,0,0,0,0,3,2,0,0,0,2,0,24,0,8,0,0
